"ProductCode","Name","TamilName","Category","Mrp","SellingPrice","PurchasePrice","Barcode","TaxSlabName","IsWeighable","HasExpiry","Uom"
"BA-10","LEYLA OLIVE OIL RED","ரெட் ஆலிவ் ஆயில்","","180.00","125.00","90.00","1023","GST 0%","FALSE","TRUE","Pcs"
"BA-10","LEYLA OLIVE OIL RED","ரெட் ஆலிவ் ஆயில்","","275.00","135.00","95.00","132537","GST 0%","FALSE","TRUE","Pcs"
"BA-100","MAGIC CRUNCH CH","மேஜிக் கிரஞ்ச்","","40.00","35.00","0.00","1152","GST 0%","FALSE","TRUE","Pcs"
"BA-1000","VIM LIQUID 99","99/-விம் லிக்விட்","","99.00","95.00","0.00","2054","GST 0%","FALSE","TRUE","Pcs"
"BA-10000","KIWI SHOE POLISH","KIWI SHOE POLISH","","47.00","45.00","35.00","11340","GST 0%","FALSE","TRUE","Pcs"
"BA-10000","KIWI SHOE POLISH","KIWI SHOE POLISH","","52.00","50.00","43.47","129185","GST 0%","FALSE","TRUE","Pcs"
"BA-10001","NIVEA BODY MILK","NIVEA BODY MILK","","85.00","80.00","56.11","11341","GST 0%","FALSE","TRUE","Pcs"
"BA-10002","NIVEA SHEA SMOOTH","NIVEA SHEA SMOOTH","","110.00","102.00","72.61","11342","GST 0%","FALSE","TRUE","Pcs"
"BA-10003","LIVON SERUM B","LIVON SERUM B","","325.00","299.00","215.00","116467","GST 0%","FALSE","TRUE","Pcs"
"BA-10004","SHOE BRUSH","SHOE BRUSH","","45.00","43.00","35.00","11344","GST 0%","FALSE","TRUE","Pcs"
"BA-10005","GENTS CHAIN","GENTS CHAIN","","30.00","20.00","7.00","11345","GST 0%","FALSE","TRUE","Pcs"
"BA-10006","GENTS BRESLET","GENTS BRESLET","","50.00","30.00","10.00","11346","GST 0%","FALSE","TRUE","Pcs"
"BA-10007","GENTS THODU","GENTS THODU","","50.00","20.00","10.00","11347","GST 0%","FALSE","TRUE","Pcs"
"BA-10008","GENTS THODU 15","GENTS THODU 15","","25.00","15.00","8.00","11348","GST 0%","FALSE","TRUE","Pcs"
"BA-10009","GENTS BRESLET 75","GENTS BRESLET 75","","100.00","75.00","35.00","11349","GST 0%","FALSE","TRUE","Pcs"
"BA-1001","LOREAL EB 200 RS.199/-","ரு.199/- லோரியல்  EB 200","","199.00","188.00","0.00","2055","GST 18%","FALSE","TRUE","Pcs"
"BA-10010","GENTS CHAIN 260","GENTS CHAIN 260","","350.00","260.00","125.00","11350","GST 0%","FALSE","TRUE","Pcs"
"BA-10011","GENTS CHAIN 195","GENTS CHAIN 195","","150.00","100.00","65.00","11351","GST 0%","FALSE","TRUE","Pcs"
"BA-10012","GENTS BRESLET 98","GENTS BRESLET 98","","150.00","98.00","45.00","11352","GST 0%","FALSE","TRUE","Pcs"
"BA-10013","GENTS BRESLET 125","GENTS BRESLET 15","","150.00","125.00","50.00","11353","GST 0%","FALSE","TRUE","Pcs"
"BA-10014","GENTS THODU 10","GENTS THODU 10","","15.00","10.00","4.50","11354","GST 0%","FALSE","TRUE","Pcs"
"BA-10015","GENS RING 20","GENS RING 20","","25.00","20.00","6.00","11355","GST 0%","FALSE","TRUE","Pcs"
"BA-10016","GENS RING 15","GENS RING 15","","15.00","15.00","5.00","11356","GST 0%","FALSE","TRUE","Pcs"
"BA-10017","PARUTHI VITHAI 1K","1கி பருத்தி விதை","","140.00","128.00","107.00","11357","GST 0%","FALSE","TRUE","Pcs"
"BA-10018","kemel trimmer\","KEMEL TRIMMER","","700.00","462.00","330.00","11362","GST 0%","FALSE","TRUE","Pcs"
"BA-10019","NOVA TIMMER B","NOVA TRIMMER","","500.00","225.00","145.00","11363","GST 0%","FALSE","TRUE","Pcs"
"BA-1002","LOREAL B 316 RS.199/-","ரு.199/- லோரியல்  B 316","","199.00","188.00","0.00","2056","GST 18%","FALSE","TRUE","Pcs"
"BA-10020","NIVEA COOL KLICK","NIVEA COOL KLICK","","249.00","195.00","137.00","11364","GST 0%","FALSE","TRUE","Pcs"
"BA-10021","nivea fresh sparay","NIVEA FRESH","","199.00","180.00","125.00","11365","GST 0%","FALSE","TRUE","Pcs"
"BA-10022","ENCHANTEUR ROMONTIC","ENCHANTEUR ROLL","","225.00","205.00","157.40","11366","GST 0%","FALSE","TRUE","Pcs"
"BA-10023","GABI RONS SAFFORON 1.5G","குங்குமபூ 1.5கி","","450.00","230.00","100.00","11367","GST 0%","FALSE","TRUE","Pcs"
"BA-10024","CHOCO ECLAIRS","CHOCO ECLAIRS","","100.00","90.00","65.00","11368","GST 0%","FALSE","TRUE","Pcs"
"BA-10025","PISTA ECLAIRS","PISTA ECLAIRS","","150.00","140.00","85.00","11369","GST 0%","FALSE","TRUE","Pcs"
"BA-10026","DRY FRUITS","DRY FRUITS ECLAIRS","","125.00","115.00","70.00","11370","GST 0%","FALSE","TRUE","Pcs"
"BA-10027","GABI RONS SAFFORON 3G","குங்குமபூ 3கி","","600.00","405.00","200.00","11371","GST 0%","FALSE","TRUE","Pcs"
"BA-10028","GINGER NEW","இஞ்சி 10","","15.00","10.00","10.00","11372","GST 0%","FALSE","TRUE","Pcs"
