"SupplierCode","Name","Phone","Email","Address","City","State","Pincode","Gstin","PaymentTerms","OpeningBalance"
"52","Salary Payable","",""," ","","","","","NET30","0.0000"
"BA-114","Travelling Expenses Payable","",""," ","","","0","","NET30","0.0000"
"BA-115","Incentive Payable","",""," ","","","0","","NET30","0.0000"
"BA-726","NEELAM","","","PARAMAK ","","","0","","NET30","-1710800.0000"
"BA-727","LOGA AGENCIES","9597781666","","PARAMAKKUDI ","31-TamilNadu","","0","33AGRPA1496K1Z6","NET30","-1563759.0000"
"BA-728","P&G","","","PARAMAKKUDI ","","","0","33EIJPK8259L1ZM","NET30","0.0000"
"BA-731","SMT..","",""," ","MADURAI","","0","","NET30","-2117550.0000"
"BA-732","JEYALAKSMI","","","ILY ","31-TamilNadu","","0","","NET30","-412484.0000"
"BA-734","GOLD WINNER","","","ILY ILY","ILY","","0","","NET30","0.0000"
"BA-735","ILAYANGUDI MALIGAI","","","ILY ILY","ILY","","0","","NET30","-3187848.0000"
"BA-736","MAJEED","",""," ","","","0","","NET30","-798956.0000"
"BA-737","SIVA","",""," PARAMAKUDI","","","0","","NET30","-91014.0000"
"BA-738","LAKME MADHURAI","",""," ","","","0","","NET30","-97659.0000"
"BA-739","SASTHA AGENCY","",""," ","","","0","","NET30","0.0000"
"BA-740","SIVA RICE PARAMAKKUDI","",""," ","","","0","","NET30","-454042.0000"
"BA-741","DEVI MEDICAL HALL","9500955915","","IST FL KOVILPAPPAKUDI DEVAKI AMMAL ST","MADURAI","","0","","NET30","0.0000"
"BA-742","SS AGENCY","",""," ILAYAN KUDI","","","0","","NET30","-26289.0000"
"BA-743","INITHAM TRADERS","8778862146","","VENKALAKADAI ST 3RD LANE","MADURAI","","0","33GHQPK6253N1ZM","NET30","-487565.0000"
"BA-744","K K ENTERORISES","9345780155","","PERUMAL KOIL 1/68A ANBU NAGAR","MANAMADURAI","","0","33AXVPR7690F1ZP","NET30","0.0000"
"BA-745","JAYALAKSHMI AGENCIES","9842515231","","154.1 KAMARAJAR ROAD SALAIYOOR","ILYANGUDI","","0","33BDBPM1574Q2Z7","NET30","-3602737.0000"
"BA-746","KMS TRADERS","9976258128","","434B,KAMARAJAR ROAD ILYANGUDI","","","0","33CJKPM2363P1ZQ","NET30","-855804.0000"
"BA-747","ARAFATH AGENCIES","9865043226","","3,HANAPI PALLIVASAL STREET ILYANGUDI","","","0","","NET30","0.0000"
"BA-748","SUN AGENCIES","","","10-12,PARAMAKUDI ROAD ILAYANGUDI","","","0","","NET30","-6103139.0000"
"BA-750","ANBU AGENCIES","",""," ","","","0","","NET30","0.0000"
"BA-751","MILKY MIST","",""," ","","","0","","NET30","-770345.0000"
"BA-752","NAGA LIMITED","",""," ","","","0","","NET30","-1157422.0000"
"BA-753","SAI AGENCY","",""," ","","","0","","NET30","-3451977.0000"
"BA-754","MORISONS","",""," ","","","0","","NET30","0.0000"
"BA-755","AMIRTHA  AGENCIES","","","PARAMAKUDI ","","","0","","NET30","-2661630.0000"
"BA-756","KALIMARK DRINK","","","ILAYANGUDI ","","","0","","NET30","0.0000"
"BA-757","DEVAKI MEDICAL HALL","9500955915",""," ","MADURAI","","0","","NET30","0.0000"
"BA-758","KANDHA AGENCIES","","","7/151 PEETA KADAI SWAMY SANNATHI","PARAMAKUDI","","0","","NET30","-891303.0000"
"BA-759","QUEEN AGENCIES","9942133100","","7A,SAKARAI RAVUTHAR STREET ILAYANGUDI","","","0","33BFPPB3459F1ZK","NET30","-1207734.0000"
"BA-760","RMG OIL","",""," ","","","0","","NET30","-96490.0000"
"BA-761","SOLAMALAI ENT","",""," ","","","0","","NET30","-995621.0000"
"BA-762","SANMIGA SAKTHI MASALA","",""," PARAMAKKUDI","","","0","33AWEFG1125A1ZJ","NET30","-379595.0000"
"BA-763","GINGER GARLIC PASTE","",""," ","","","0","","NET30","0.0000"
"BA-764","MILKA BREAD","9788531253","","ILYANGUDI ","","","0","","NET30","-33550.0000"
"BA-765","ANNAI AGENCIES","9952292775","","NO37 OLD RAMANATHAPURAM RASTHA","MANAMADURAI","","0","","NET30","-359779.0000"
"BA-766","AROKYA MILK HAP","","","ILAYANGUDI ","","","0","","NET30","-1869146.0000"
"BA-767","SRI NARASUS COFFEE","","","NO46 T.B ROAD ARASARADI","MADURAI","","0","","NET30","-21209.0000"
"BA-768","SRI MANI MKT","","","PARAMAKUDI ","","","0","","NET30","-21283.0000"
"BA-769","ROYAL MARKETING","","","PARAMAKUDI ","","","0","","NET30","-1631238.0000"
"BA-770","CANAAN","","","PARAMAKUDI ","","","0","","NET30","0.0000"
"BA-771","KALIMARK","","","ILYANGUDI ","","","0","","NET30","0.0000"
"BA-772","AAVIN MILK","","","ILAYANGUDI ","","","0","","NET30","-137112.0000"
"BA-773","TMR TRADERS","","","ILAYANGUDI ","","","0","","NET30","0.0000"
"BA-774","VAIKAI OIL","","","ILYANGUDI ","","","0","","NET30","-1069684.0000"
"BA-775","MM OIL","",""," ","","","0","","NET30","0.0000"
"BA-776","DEEPIKA AGEN","","","ILAYANGUDI ","","","0","","NET30","0.0000"
"BA-777","SRI AYYANAR AGENCIES","",""," ","PARAMAKUDI","","0","","NET30","0.0000"
"BA-778","GREEN CITY AGENCY","","","ILAYANGUDI ","","","0","","NET30","0.0000"
"BA-779","DELTAS TRADE","",""," ","","","0","","NET30","0.0000"
"BA-780","SOORIYAN SODAM","",""," ","","","0","","NET30","-156863.0000"
"BA-781","MURUGAN AGENCY","","","ILAYANGUDI ","","","0","","NET30","-327170.0000"
"BA-782","ALAUDEEN","","","ILAYANGUDI ","","","0","","NET30","0.0000"
"BA-783","ESWARI P.K.INDUSTRIES","","","PARAMAKUDI ","","","0","","NET30","0.0000"
"BA-784","KARTHIKA ENT","","","PARAMAKUDI ","","","0","","NET30","0.0000"
"BA-785","A2B","",""," ","","","0","","NET30","0.0000"
"BA-786","RMS","",""," ","","","0","","NET30","-1193664.0000"
"BA-787","SRI VIJAYA AGENCY","",""," ","PARAMAKUDI","","0","","NET30","0.0000"
"BA-788","SUN SEMIYA","",""," ","","","0","","NET30","-65059.0000"
"BA-789","SR APPALAM","",""," ","","","0","","NET30","0.0000"
"BA-790","MAHALAKSHMI TRADERS","",""," ","","","0","","NET30","0.0000"
"BA-791","MANO","",""," ","","","0","","NET30","-89752.0000"
"BA-792","MALKIST MADURAI","",""," ","","","0","","NET30","0.0000"
"BA-793","TAJ AGENCHY","",""," ","","","0","","NET30","0.0000"
"BA-794","NS KAYAM","",""," ","","","0","","NET30","-63383.0000"
"BA-796","KVN","","","MADURAI ","","","0","","NET30","-595861.0000"
"BA-797","FST THIRUCH","",""," ","","","0","","NET30","0.0000"
"BA-798","AJWA","","","PARAMAKKUDI ","","","0","","NET30","0.0000"
"BA-799","ARASAN CON&TRA","","","DEVAKOTTAI ","","","0","","NET30","-268086.0000"
"BA-800","SUGANTHI","",""," ","","","0","","NET30","-1070945.0000"
"BA-801","CAVIKAR MADURAI","",""," ","","","0","","NET30","-20191.0000"
"BA-802","VIDHAI PARAMAKKUDI","",""," ","","","0","","NET30","-343864.0000"
"BA-803","LAKSMI MADURAI","",""," ","","","0","","NET30","-4707841.0000"
"BA-804","VPM MADURAI","",""," ","","","0","","NET30","-4600033.0000"
"BA-805","KVR&SONS DOUBLE DEER","",""," ","","","0","","NET30","0.0000"
"BA-806","RATHA KRISHNA RICE","",""," ","","","0","","NET30","-3017534.0000"
"BA-808","VETRI PARAMAKKU","",""," ","","","0","","NET30","0.0000"
"BA-810","VIJAY ENTERPRISE","",""," ","","","0","","NET30","0.0000"
"BA-811","SHARDA BEAUTY","",""," ","","","0","","NET30","0.0000"
"BA-812","THANNEER BANTHAL PARAMAKKUDI","",""," ","","","0","","NET30","-2692646.0000"
"BA-813","RINITA SNACKS","",""," ","","","0","","NET30","0.0000"
"BA-814","ALAVUDEEN","",""," ","","","0","","NET30","0.0000"
"BA-815","VINAYAGA MADURAI","",""," ","","","0","","NET30","-3904242.0000"
"BA-816","RATHA KRISHNA RICE MADU","",""," ","","","0","","NET30","0.0000"
"BA-817","SHANKAR AGENCY","",""," ","","","0","","NET30","-131791.0000"
"BA-818","SRI AMBIKA AGENCY","","","ILY ","","","0","","NET30","-345340.0000"
"BA-819","KRISHNA FOOD THRICHY","",""," ","","","0","","NET30","0.0000"
"BA-820","HARIMA MADURAI","",""," ","","","0","","NET30","-309923.0000"
"BA-821","KALYANI CAVINCARE MADURAI","",""," ","","","0","","NET30","0.0000"
"BA-822","SRI SARSWATHI MASU","",""," ","","","0","","NET30","-642366.0000"
"BA-823","UMAR RAMANAD","",""," ","","","0","","NET30","-190227.0000"
"BA-824","SHRI MEENAKSHI PARAMA","",""," ","","","0","","NET30","-64930.0000"
"BA-825","FLIP AG","",""," ","","","0","","NET30","0.0000"
"BA-826","HARI POONDU","",""," ","","","0","","NET30","0.0000"
"BA-827","KATHRI MUTHUKKULATHUR","",""," ","","","0","","NET30","0.0000"
"BA-828","APPOLO MED","",""," ","","","0","","NET30","0.0000"
"BA-829","RAJ AGENCHY","",""," ","","","0","","NET30","0.0000"
"BA-830","USER 1","",""," ","","","0","","NET30","0.0000"
"BA-831","KT MALIGAI","",""," ","","","0","","NET30","-688051.0000"
"BA-832","AM TRADERS","",""," ","","","0","","NET30","0.0000"
"BA-833","DEVI  VELLAM","",""," ","","","0","","NET30","-28296.0000"
"BA-834","GG PASTE","",""," ","","","0","","NET30","0.0000"
"BA-835","SVS","",""," ","","","0","","NET30","-245004.0000"
"BA-837","SARTHA BEAUTY","",""," ","","","0","","NET30","0.0000"
"BA-839","SMR","",""," ","","","0","","NET30","-27304.0000"
"BA-841","M.B.PHARMA SIDDHA&AYURVEDA","9843057970",""," ","MADURAI","","0","","NET30","0.0000"
"BA-842","SAI PRIYA MADU","",""," ","","","0","","NET30","0.0000"
"BA-843","ZM KEMIKALS","",""," ","","","0","","NET30","0.0000"
"BA-844","WASO SMT","","","MANAMADURAI ","","","0","","NET30","0.0000"
"BA-845","NYKHA","",""," ","","","0","","NET30","0.0000"
"BA-847","SRI ELIMALAI CHALLENGE","",""," ","","","0","","NET30","0.0000"
"BA-849","BABY SNACKS","",""," ","","","0","","NET30","-95697.0000"
"BA-850","KANDHA","",""," ","","","0","","NET30","0.0000"
"BA-851","SHANKER AGENCY","",""," ","","","0","","NET30","-21247.0000"
"BA-852","SANGAMITHRAN TRADERS","",""," ","","","0","","NET30","0.0000"
"BA-853","TVS MADURAI","",""," ","","","0","","NET30","0.0000"
"BA-854","MAHALAKSHMI ENTERPRISES","",""," ","","","0","","NET30","-1292846.0000"
"BA-855","MRJ AJWA PARAMAKKUDI","",""," ","","","0","","NET30","-32360.0000"
"BA-856","SRI RAJALAKSHMI CAMLIN PARAMAKKUDI","",""," ","","","0","","NET30","-100381.0000"
"BA-857","SANTHI AGENCY PARA","",""," ","","","0","","NET30","-20112.0000"
"BA-858","NAVYA SRI","",""," ","","","0","","NET30","0.0000"
"BA-859","ANNAI SNACKS","",""," ","","","0","","NET30","-132412.0000"
"BA-860","SAI PRIYA NIVEA MADU","",""," ","","","0","","NET30","0.0000"
"BA-861","JAI MARKETING","9843096904","","MADURAI ","","","0","","NET30","0.0000"
"BA-862","TMK AGENCY","",""," ","","","0","","NET30","-1663462.0000"
"BA-863","K.M.MKT","",""," ","MADURAI","","0","","NET30","0.0000"
"BA-864","SRI SAI PARAMAKKU","",""," ","","","0","","NET30","0.0000"
"BA-865","aBIS","",""," ","","","0","","NET30","0.0000"
"BA-866","VINAYAGA AGENCIES PAPAMA","",""," ","","","0","","NET30","-918927.0000"
"BA-867","JIO","",""," ","","","0","","NET30","0.0000"
"BA-868","NALA PARUPPU","",""," ","","","0","","NET30","-193500.0000"
"BA-869","SAMARAN KULFI ILY","",""," ","","","0","","NET30","0.0000"
"BA-870","RKS AGENCY","7373873671",""," ","THIRUPPACHETHI","","0","331RBPK0048G1Z4","NET30","0.0000"
"BA-871","BALAJI RAM","",""," ","","","0","","NET30","0.0000"
"BA-872","GANESHA VILAS FOOD PRODUCTS","",""," ","","","0","","NET30","-165218.0000"
"BA-873","MEENACHI","",""," ","","","0","","NET30","0.0000"
"BA-874","MATANGI ENTERPRISES","",""," ","","","0","","NET30","-63512.0000"
"BA-876","I S AGENCHY","",""," ","","","0","","NET30","0.0000"
"BA-877","SANKAR ILY","",""," ","","","0","","NET30","-18428.0000"
"BA-878","RAJAMMAL TRADERS","",""," ","","","0","","NET30","0.0000"
"BA-879","MB PAHRMA","",""," ","","","0","","NET30","0.0000"
"BA-881","R.K.ENTERPRISES","","","MANAMADURAI ","","","0","","NET30","0.0000"
"BA-882","IS AGENCY","",""," ","","","0","","NET30","0.0000"
